44,화자,intent,subintent,question,answer,q_entity,a_entity,용어사전,지식베이스,교통
44,민원인,분실물,,오늘 새벽에 대구에서 택시를 탔는데요 가방을 두고 내린 것 같은데 혹시 그거 어디에 알아봐야 되나요,저희가 택시를 저희 대구시에서 그 분실물 같은 경우에는 대구시에서 따로 관리를 하는 부분은 아니구요 개인택시면 개인택시 조합에서 아니면 법인택시면 법인택시 조합에서 관리를 하는 부분이 있습니다. 혹시라도 다른 승객분이 그거를 가져가지 않으셨다면은 그 조합 쪽으로 올려드리긴 하는데요 제가 선생님 문자로 저희 개인택시 조합하고 법인택시 조합하고 해서 문자로 남겨드리고 혹시 몰라서 분실물센터 그 홈페이지가 있습니다.,"새벽, 대구, 택시, 가방","택시, 대구시, 분실물, 개인택시, 개인택시 조합, 법인택시, 법인택시 조합, 문자, 분실물, 센터, 홈페이지","대구/대구, 대구시/대구, 분실물/분실물, 개인택시/개인택시, 개인택시 조합/개인택시조합, 법인택시 조합/법인택시 조합, 홈페이지/홈페이지","택시/대중교통수단/교통수단,가방/분실물/분실물,",교통
44,민원인,분실물,,제가 어제 한 시에 오백구번 버스타고 가다가 뒷 좌석에 지갑을 흘렸거든요,선생님 그러시면 저희가 분실물사이트나 이런 부분에 확인이 가능하구요 아무래도 저희도 휴일인 관계로 사이트나 전화번호 회사 측 전화번호 외에는 저희가 도움을 드릴 수 있는 부분이 없으세요 그래서 지갑 같은 경우는 이제 버스이기 때문에 뭐 조금 사람들의 눈이 좀 있고 하셔서 만약에 기사 분에게 전달을 해 주셨다 하시면 이제 찾을 수 있는 부분이신데요 아무래도 선생님께서 지금 버스회사나 시간대 정확한 장소 말씀하셔서 회사 측으로 아무래도 월요일날 확인하시는 방법이 있구요 아니시면 저희 그 버스노선 여기 버스 대구광역시 시내버스 노선에 들어가시면 거기 이제 분실물 신고라고 해서 그 사이트 통해서 확인이 가능하세요,"한 시, 오백구번, 버스, 좌석, 지갑","분실물, 사이트, 휴일, 전화번호 회사, 전화번호, 지갑, 버스, 기사, 버스회사, 시간, 장소, 월요일날, 버스노선, 버스, 대구광역시, 시내버스 노선, 분실물 신고","한 시/한시, 분실물/분실물, 사이트/홈페이지, 휴일/휴무일, 전화번호/연락처, 버스회사/버스회사, 장소/장소, 월요일날/월요일, 버스노선/버스노선, 시내버스 노선/시내버스 노선","오백구번/버스번호/버스번호,버스/대중교통수단/교통수단,지갑/분실물/분실물,",교통
44,민원인,분실물,,분실물 때문에 연락드렸는데요 그 어제 어제 다섯시 쯤에 어디지 동부소방서 앞에 역 그 정류장에서 팔일사를 탔는데 거기서 그 열쇠 지갑을 잃어버렸거든요,일단은 제가 그러면 해당버스 한 번 조회해 드릴텐데 시청에서는 분실물을 관리하진 않구요 보통 버스에서 이제 그 물건을 다른 승객이 주어가지 않는다면 버스기사가 버스회사에 보통은 다 맡겨주시거든요 제가 그러면 팔일사 이 번호로 한번 조회해서 저희 선생님 휴대폰으로 문자 전송드릴거구요 혹시라도 도움 되실까해서 분실물 올려주는 인터넷도 그 인터넷 창고 같은 게 있거든요,"분실물, 다섯시, 동부소방서앞, 역, 정류장, 팔일사, 열쇠 지갑","시청, 분실물, 버스, 물건, 버스기사, 버스회사, 팔일사, 분실물, 인터넷, 인터넷 창고","분실물/분실물, 다섯시/다섯시, 정류장/정류장, 버스기사/버스기사, 버스회사/버스회사","어제 다섯시/시간/시간,동부소방서 앞/위치/위치,팔일사/버스번호/버스번호,열쇠 지갑/분실물/분실물,",교통
44,민원인,길찾기,,동성로 입군데요 벽화마을 갈라면 어떻게 가야 돼요,아 동성로 입구 약령시 건너편이시구요 지금 버스가 바로 가는 버스는 없구요 이거 환승을 해 주셔야 되는데 지금 악령시 앞에서 건너편 말구요 약령시 앞에서 육백오십번을 탑승을 하셔서요 타셔서 화원초등학교 건너편에 하차를 하시구요 그다음에 달성이번을 타시고 환승을 하셔서 달성이번 타시고 마비정 벽화마을 종점에 하차를 하시면 됩니다.,"동성로 입구, 벽화마을 ","동성로 입구, 약령시, 건너편, 버스, 환승, 악령시 앞, 건너편, 약령시 앞, 육백오십번, 탑승, 화원초등학교, 건너편, 하차, 달성이번, 환승, 마비정, 벽화마을, 종점, 하차","약령시/약령시, 건너편/건너, 약령시 앞/약령시, 육백오십번/육백오십, 탑승/승차, 종점/종점","동성로 입구/출발지/위치,벽화마을/도착지/위치,",교통
44,상담사,길찾기,출발지,혹시 계시는 정류장명이 어떻게 되십니까?,정류장 명이 동성로 입구라고밖에 안 적혀져 있어요 약령시 건너,정류장명,"정류장명, 동성로 입구, 약령시 건너",정류장명/정류장 명,"동성로 입구/출발지/위치,약령시 건너/출발지/위치,",교통
44,민원인,불편신고,,버스 그 난폭운전에 대해가지고 좀 불편신고를 좀 할려구요,국번없이 선생님께서 휴대폰으로 하시면 국번없이 백팔십이번으로 접수를 하셔야 해요,"버스, 난폭운전, 불편신고","휴대폰, 국번, 백팔십이번, 접수","불편신고/불편신고, 휴대폰/휴대전화, 접수/접수","버스/대중교통수단/교통수단,난폭운전/불편유형/불편유형,",교통
44,상담사,불편신고,버스번호,아 네 선생님 버스노선이 몇 번이신가요,육백육번요,"버스노선, 번",육백육번,"버스노선/버스노선, 번/회","육백육번/버스번호/버스번호,",교통
44,상담사,불편신고,위치,육백육번 어디에서 탑승을 하셨습니까?,상인네거리에서 송현동 쪽으로 지나가는 버스였구요 ,"육백육번, 탑승","상인네거리, 송현동, 버스",탑승/승차,"상인네거리/위치/위치,송현동/위치/위치,버스/대중교통수단/교통수단,",교통
44,상담사,불편신고,시간,몇 시쯤 탑승을 하셨습니까?,시간은 한 시 오십육분 쯤,"시, 탑승","시간, 한 시, 오십육분","시/시, 탑승/승차, 한 시/한시","한 시 오십육분/시간/시간,",교통
44,민원인,배차간격,,버스 몇 분 기다려야 되는지 궁금해 가지고 전화드렸는데요,네 지금 동대구역 지하도 이에서 일단 백 백일 다시 일번은 현재 일분 뒤에 도착한다고 전산엔 조회되고 있구요 그리고 사백일번은,"버스, 분","동대구역 지하도 이, 백, 백일 다시 일번, 일분 뒤, 도착, 전산 조회, 사백일번 ","백/백, 백일 다시 일번/백일 다시 일, 전산 조회/조회, 사백일번/사백일","동대구역 지하도 이/위치/위치,백일 다시 일/버스번호/버스번호,",교통
44,상담사,배차간격,위치,아 그러세요 저기 선생님 지금 계신 정류장은 어디세요,정류소 번호가 공이공공일이거든요,정류장,"정류소 번호, 공이공공일","정류장/정류장, 정류소 번호/정류소 번호","공이공공일/위치/위치,",교통
44,상담사,배차간격,위치,아 혹시 정류장이름으로 한번 말씀해 주실 수 있으실까요,동대구역 지하도 이라고 돼있어요.,"정류장, 이름",동대구역 지하도 이,"정류장/정류장, 이름/이름","동대구역 지하도/위치/위치,",교통
44,상담사,배차간격,버스번호,네 선생님 여기서 몇 번 버스 지금 기다리고 계십니까?,지금 백일 다시 일이나 사백일이나 급행 일번 기다리고 있거든요 ,"번, 버스","백일 다시 일, 사백일, 급행 일번 ","번/회, 백일 다시 일/백일 다시 일, 사백일/사백일, 급행 일번/급행일번","백일 다시 일/버스번호/버스번호,사백일/버스번호/버스번호,급행일번/버스번호/버스번호,",교통
44,민원인,분실물,,택시에서 지갑을 놓고 내렸는데요 그 현금으로 계산했고 택시번호나 이런 건 잘 모르겠는데 그 승차한 곳하고 하차한 곳만 알고 있거든요 시간대랑 거기 가방에 예 좀 현금이 좀 많아서 혹시 찾을 방법이 있나 해서 전화드렸어요,저희가 분실물 같은 경우에는 택시조합에서 관리를 하고 있는데요 제가 개인 택시조합연락처와 법인택시조합연락처를 모두 다 선생님께 알려드릴테니까 조합으로 예 혹시 보관을 하고 있는 게 있는지 통화를 한번 해 보셔야 될 것 같습니다.,"택시, 지갑, 현금, 계산, 택시번호, 승차, 곳, 하차, 곳, 가방","분실물, 택시조합, 개인 택시조합, 법인 택시조합, 연락처, 보관","택시번호/택시번호, 승차/승차, 곳/군데, 분실물/분실물, 택시조합/택시조합, 개인 택시조합/개인택시조합, 법인 택시조합/법인택시 조합, 연락처/연락처","택시/대중교통수단/교통수단,지갑/분실물/분실물,현금/결제수단/결제수단,가방/분실물/분실물,",교통
44,상담사,분실물,개인법인,그러면 선생님 혹시 뭐 개인택시였는지 법인택시인지는 기억이 나십니까?,개인택시고 색깔이 검은색 계통이었구요,"개인택시, 법인택시","개인택시, 색깔, 검은색, 계통",개인택시/개인택시,"개인택시/개인법인/택시구분,",교통
44,민원인,불편신고,,버스가 승차 거부했는데요,저희가 바로 무승차통과건으로 해서 제가 신고를 할 텐데 일단은 청문회를 거쳐서 이분이 그기에서 무승차통과했다는 게 밝혀진다면 이제 그분이 벌금으로 물게 될 겁니다. 아마,"버스, 승차 거부","승차, 통과, 건, 신고, 청문회, 승차, 통과, 벌금","승차 거부/승차 거부, 승차/승차","버스/대중교통수단/교통수단,승차 거부/불편유형/불편유형,부승차통과건/불편유형/불편유형,",교통
44,상담사,불편신고,버스번호,어 선생님 그 노선번호가 몇 번이신가요,대구 칠십 사일팔이 이일이요,"노선번호, 번",대구 칠십 사일팔이 이일,"노선번호/노선번호, 번/회","대구 칠십 사일팔이 이일/챠량번호/차량번호,",교통
44,상담사,불편신고,버스번호,일팔이하나 노선 번호는 몇 번이예요 선생님 버스번호가,육백번이요,"일팔이하나. 노선 번호, 번, 버스번호",육백번,번/회,"육백번/버스번호/버스번호,",교통
44,상담사,불편신고,위치,저희가 이 차 그 선생님께서 계신 그 서계셨다는 정류장명이 어떻게 되세요,여기 송현역 사번출구요 ,"차, 정류장명, ","송현역, 사번출구","차/차량, 정류장명/정류장 명","송현역 사번출구/위치/위치,",교통
44,민원인,배차간격,,서부정류장이라고 적힌 정류장인데 지금 남구일다시 일이 한 시간째 안 오고 있거든요,지금 버스 한 대가 지금 계명대를 지나고 있거든요 대명동 고 쪼금만 기다려주시면은 한 네 대여섯 정거장 전이기 때문에 곧 도착할 겁니다. 선생님 아마,"서부정류장, 정류장, 남구일 다시 일, 시간","버스, 한 대, 계명대, 대명동, 대여섯, 정거장, 전, 도착","정류장/정류장, 남구일 다시 일/남구일 다시 일, 대여섯/대여섯","서부정류장/위치/위치,남구일다시 일/버스번호/버스번호,",교통
44,민원인,배차간격,,남구일 다시 일 지금 확인해 봤는데 십삼분 도착 간격인거예요,평일에는 십삼분인데 휴무일에는 배차간격 우선은 십구분으로 확인되고 있습니다.,"남구일 다시 일, 십삼분, 도착 간격, ","평일, 십삼분, 휴무일, 배차간격, 십구분","남구일 다시 일/남구일 다시 일, 평일/평일, 휴무일/휴무일, 배차간격/배차간격","남구일 다시 일/버스번호/버스번호,",교통
44,민원인,길찾기,,수성구청 앞에서 대구가톨릭대학교까지 갈려고 하는데 가는 노선 있나 싶어서,네 한번으로 가는 버스는 없구요 만약에 한 번에 가기 원하신다면 범어역에서 그 팔백구번을 타시구요 임당역 이번 출구에 나오셔가지고 대구가톨릭대학교 건너 정류장에서 뭐 하차하신다 그러는데요 요고 보다는 일단은 바로 수성 그 구청 앞에서 출발하실 수 있는 거는 수성경찰서  앞에서요 선생님 동구일 다시 일,"수성구청 앞, 대구가톨릭대학교, 노선","버스, 범어역, 팔백구번, 임당역, 이번 출구, 대구 가톨릭 대학교 건너, 정류장, 하차, 수성구청 앞, 출발, 수성경찰서 앞, 동구 일 다시 일","수성구청 앞/수성구청, 노선/버스노선, 이번 출구/이번 출구, 정류장/정류장","수성구청/출발지/위치,대구가톨릭대학교/도착지/위치,",교통
44,민원인,불편신고,,버스정류장인데요 급행이번버스가 저희 서있는 거 봤는데 그냥 갔거든요,예 예 알겠습니다. 이런 부분 신고해 주시면 이 부분 이제 신고가 돼서 구청 교통과에서 기사를 청문회하거나 버스회사에 확인을 한 다음에요 거기에 대한 행정적 처분을 하거나 시정조치 요청하거나 하는 부분이 있기 때문에 신고해 주시면 이게 이제 반영이 되어서 처리가 되는 부분이시구요,"버스정류장, 급행, 이번, 버스","신고, 구청, 교통과, 기사, 청문회, 버스회사, 행정 처분, 시정 조치","버스정류장/버스정류장, 버스회사/버스회사, 행정 처분/행정 처분, 시정 조치/시정","급행이번/버스번호/버스번호,",교통
44,상담사,불편신고,위치,이사사칠이고 선생님이 있는 버스정류장은 어디신가요,상동동일하이빌요,"이사사칠, 버스정류장","상동, 동일하이빌",버스정류장/버스정류장,"상동동일하이빌/위치/위치,",교통
44,민원인,불편신고,,정류소에서 버스가 그냥 가버렸거든요,네 맞습니다. 선생님 요거 교통 불편 저희가 접수를 해 드리고요 ,"정류소, 버스","교통 불편, 접수","정류소/정류장, 교통 불편/교통불편, 접수/접수","버스/대중교통수단/교통수단,",교통
44,상담사,불편신고,위치,아네 그러셨습니까? 선생님 혹시 그 이용하셨던 정류소는 어느 정류소이신가요,정류소는 관문시장 건너구요 그리고 버스는 육이삼이구요 뒷자리는 이사구이번요,정류소,"정류소, 관문시장, 버스, 육이삼, 뒷자리, 이사구이번, ",정류소/정류장,"관문시장 건너/위치/위치,육이삼/버스번호/버스번호,이사구이번/차량번호/차량번호,",교통
44,상담사,불편신고,시간,시간대는 언제셨나요 선생님,지금,시간,지금,지금/지금,"지금/시간/시간,",교통
44,민원인,분실물,,어제 저녁 여덟시쯤에 삼이삼 버스 타다가 지갑을 놓고 내려 가지고요 거기 대구은행역 쪽에서,보통 인제 버스에서 물건을 분실하셨으면은 다른 사람이 선생님 거를 가져가지 않은 이상은 기사분들이 버스 회사에다가 물건을 맡겨놓거든요,"저녁, 여덟시, 삼이삼, 버스, 지갑, 대구은행역","버스, 물건, 분실, 기사, 버스 회사","저녁/저녁, 버스 회사/버스회사","어제 저녁 여덟시/시간/시간,삼이삼/버스번호/버스번호,지갑/분실물/분실물,대구은행역/위치/위치,",교통
44,상담사,분실물,위치,그래서 제가 삼이삼 버스 좀 확인을 해 하셔서 선생님께 버스 회사 쪽 전화번호 안내해 드릴 건데 아까 어디서 하차를 하셨다 말씀하셨습니까?,쌍용예가 다음에 수성삼가 롯데캐슬요,"삼이삼, 버스, 버스 회사, 전화번호, 하차","쌍용예가, 다음, 수성삼가, 롯데캐슬 ","버스 회사/버스회사, 전화번호/연락처","롯데캐슬/위치/위치,삼이삼/버스번호/버스번호,",교통
44,민원인,길찾기,,시청을 좀 찾아갈려고 하는데 대중교통 이용해서 갈려면 어떻게 가야 되는지 싶어가지구요,수성구 만촌동 쪽이세요 예 어 버스로 한 번에 오시는 거는 어 대구시청 바로 앞에는 바로 없구요 그 한일극장 있는 쪽에서 내려서 걸어오셔야 되는데요 그 남부정류장 앞 일번 정류장에서 구백삼십구번이나 삼백구번 타시고 음 대구 그 한일극장 쪽에 내리셔 가지구요 국채보상 공원있는 그 방면 쪽으로 네 반대편 길 건너 쪽으로 해서 걸어오셔야 돼요 선생님,"시청, 대중교통","수성구, 만촌동, 버스, 대구시청, 앞, 한일극장, 남부정류장 앞, 일번 정류장, 구백삼십구번, 삼백구번, 대구, 한일극장, 국채보상, 공원, 방면, 반대편, 길 건너","남부정류장 앞/남부정류장, 대구/대구, 방면/방면, 반대편/반대편","시청/도착지/위치,",교통
44,상담사,길찾기,출발지,출발은 어디에서 하십니까?,요기 남부정류장,출발,남부정류장,남부정류장/남부정류장,"남부정류장/도착지/위치,",교통
44,민원인,이동시간,,시간은 얼마 정도 걸려요,어 걷는 시간이 한 십분 정도 있는데요 고거까지 동일하게 삼십삼분정도 소요됩니다.,시간,"시간, 십분, 삼십삼분",,,교통
44,민원인,길찾기,,칠곡 삼지구 거기서 여기 수성구 범어동 구쎈병원 쪽에 오는 버스가 몇 번 있나요,선생님 요기 지금 가실려면은 음 지하철 팔거역에서요 삼호선 서문시장역 내리셔가지구요 거기에서 그 일번출구로 나와서 섬유회관 앞에서 칠백이십사번을 타시면 돼요,"칠곡, 삼지구, 수성구, 범어동, 구쎈병원, 버스, 번 ","지하철, 팔거역, 삼호선, 서문시장역, 일번 출구, 섬유회관 앞, 칠백이십사번","번/회, 지하철/지하철, 서문시장역/서문시장","칠곡 삼지구/출발지/위치,수성구 범어동 구쎈병원/도착지/위치,",교통
44,민원인,길찾기,,경북대학교 북문 맞은 편에서요 동아일보 사거리 성서공업단지까지 어떻게 가요,어 정류장 이름이 경창산업으로 나오네요 선생님 확인을 한번 해 보니 음 바로 가는 건 없구요 환승을 하셔야 되구요 예 경북대학교 북문 건너에서 오백이십삼번을 타시구요 어 성서주공이단지 앞에서 하차를 하십니다. 성서주공이단지 건너서 달서일번으로 환승을 하십니다.,"경북대학교 북문 맞은편, 동아일보, 사거리, 성서공업단지","정류장, 이름, 경창산업, 환승, 경북대학교 북문 건너, 오백이십삼번, 성서주공이단지 앞, 하차, 성서주공이단지 건너, 달서일번, 환승 ","경북대학교 북문 맞은편/경북대학교 북문 건너, 사거리/사거리, 성서공업단지/성서공업단지, 정류장/정류장, 이름/이름, 경북대학교 북문 건너/경북대학교 북문 건너, 달서일번/달서일번","경북대 북문 맞은편/출발지/위치,성서공업단지/도착지/위치,",교통
44,민원인,이동시간,,다 합쳐가 시간은 어느 정도 걸리겠어요,시간은 // 환승 시간이 오십육분 정도 소요가 됩니다. 선생님,시간,"시간, 환승 시간, 오십육분",,,교통
44,민원인,분실물,,내가 버스타다가 장갑을 흘려가지고 그래서 그 장갑있는지 쫌 알아볼려고,선생님 지금 홈페이지 습득물에는 장갑은 예 별도로 칠백오십번 노선에서 예 올린 건 없구요 우주교통 쪽에 그 내일 통화를 한번 해 보셔야 될 것 같은데요,"버스, 장갑","홈페이지, 습득물, 장갑, 칠백오십번, 노선, 우주교통","홈페이지/홈페이지, 노선/버스노선","버스/대중교통수단/교통수단,장갑/분실물/분실물,칠백오십번/버스번호/버스번호,",교통
44,상담사,분실물,시간,아 그러셨군요 그 버스 이용을 언제 하셨나요,아침 여덟시 때 여덟시에서 여덟시 십 분에 오는 칠백오십번 탔어요,버스,"아침, 여덟시, 여덟시 십 분, 칠백오십번",여덟시 십 분/여덟시 십분,"여덟시 십분/시간/시간,칠백오십번/버스번호/버스번호,",교통
44,민원인,영업시간,,버스 회사 몇 시에서 몇 시에 열어요,버스 영업 시간은 회사마다 차이가 있습니다,"버스, 회사, 시, 시, ","버스, 영업 시간, 회사, 차이","회사/회사, 시/시, 영업 시간/영업 시간",,교통
44,민원인,불편신고,,버스가 정류장에 사람들 있는데 안 태우고 갔는 것도 신고 할 수 있는가예,그러면 선생님 제가 이렇게 해서 어 입력을 해 드리구요 선생님 저희가 이 버스기사분 행정처분하실 수 있는데요 관할구청에서 기사나 버스회사불러가지고 시시비비를 가린후에 통보를 하는데 요게 길게는 삼십일 정도 소요될 수 있으므로 양해 부탁드릴게요,"버스, 정류장, 사람, 예, ","버스기사, 행정처분, 관할 구청, 기사, 버스회사, 통보, 삼십일","정류장/정류장, 버스기사/버스기사, 관할 구청/관할구청, 버스회사/버스회사",,교통
44,상담사,불편신고,시간,선생님 몇 시에 기다리셨습니까?,지금 시간요,시,시간,시/시,"지금/시간/시간,",교통
44,상담사,불편신고,위치,어느 정거장에서 기다리셨습니까?,수성구청 건너고요 ,정거장,수성구청 건너,,"수성구청 건너/위치/위치,",교통
44,상담사,불편신고,버스번호,그리고 선생님 기다리신 버스 번호가 몇 번입니까?,삼백이십삼번요,"버스, 번호, 번",삼백이십삼번,"번호/차량번호, 번/회","삼백이십삼번/버스번호/버스번호,",교통
44,민원인,배차간격,,화학신동으로 가는 이백번 버스 운행시간 좀 알수있을까요,이거 지금 칠곡 이백번이라고해서 버스가 나오오고 있구요 이 버스는 저희쪽에서 이게 시간대는 따로 확인이 안되구요 칠곡 군청에서 확 확인을 해보셔야 돼요,"화학신동, 이백번, 버스, 운행시간","칠곡 이백번, 버스, 시간대, 칠곡 군청","운행시간/운행시간, 칠곡 군청/칠곡군청","칠곡 이백번/버스번호/버스번호,",교통
44,민원인,배차간격,,이백오십번 버스 배차간격이 어떻게 되는지 알고 싶어서요,우선은 성주군 쪽에서 운영을 하고 있는 부분이셔서 그 해당기관으로 한번 문의하셔야 되는데 번호를 하나 드려도 괜찮으실까요  ,"이백오십번, 버스, 배차간격","성주군, 기관, 번호","배차간격/배차간격, 성주군/성주, 번호/차량번호","이백오십번/버스번호/버스번호,",교통
44,민원인,길찾기,,화원에서 우방랜드 이월드 갈라카면 몇 번타야 돼요,바로 버스로 이동해서 바로 오는 노선은 없구요 아니면은 지금 육백 잠시만 육백오십삼번을 선생님 승차를 하셔가지고 뭐 대구역까지 나오셔서 대구역에서 그전철로 이동해서 대구역까지 나오셔서 대구역북편네거리에서 육오삼 버스를 뭐 이용하시거나 그렇게 하셔야 되구요 아니면 전철로 해서 일호선 이용하셔서 반월당에까지 오셔서 그 이호선으로 환승을 하셔서 내당역에 내리시면 되거든요,"화원, 우방랜드, 이월드, 번","노선, 육백오십삼번, 승차, 대구역, 전철, 대구역북편네거리, 육오삼, 버스, 전철, 일호선, 반월당, 이호선, 환승, 내당역","우방랜드/이월드, 이월드/이월드, 번/회, 노선/버스노선, 육백오십삼번/육백오십삼, 승차/승차, 전철/지하철, 반월당/반월당","화원/출발지/위치,이월드/도착지/위치,이월드/도착지/위치,",교통
44,민원인,배차간격,,육백오십오번 이거 버스 몇 분 만에 한 대씩이에요.,,"육백오십오번, 버스, 분, 대",,,"육백오십오번/버스번호/버스번호,",교통
44,상담사,배차간격,위치,선생님께서 계시는 정류장이 어디신가요,여기 화원농협요 ,정류장,화원농협,정류장/정류장,"화원농협/시간/위치,",교통
44,상담사,배차간격,위치,화원농협 주유소 앞입니까? 건넙니까? ,건너요,화원농협 주유소 앞,건너,"화원농협 주유소 앞/화원농협주유소앞, 건너/건너","화원농협주유소앞/위치/위치,",교통
44,민원인,배차간격,,북부정류장에서 성주 가는 이백오십번 버스 배차간격 좀 물어 볼려구요,네 우선은 이백오십번은 평일육칠배차간격이 있는 것으로 확인이 되구요 그 평일에 하루에 여섯 번을 운행을 하는 것으로 확인이 됩니다. 요고 시간은 죄송합니다만 시간까지는 이게 확인이 되지 않구요 이백오십번 버스회사로 문의를 하셔야 될 꺼 같습니다.,"북부정류장, 성주, 이백오십번, 버스, 배차간격","이백오십번, 평일, 육, 칠, 배차간격, 하루, 여섯번, 운행, 시간, 이백오십번, 버스회사","성주/성주, 배차간격/배차간격, 평일/평일, 여섯번/여섯, 버스회사/버스회사","북부정류장/위치/위치,이백오십번/버스번호/버스번호,",교통
44,민원인,분실물,,분실물 확인 좀 전화드렸는데요,택시분실물의 경우에는 저희 시청 쪽에서 콜센터 쪽에서 바로 확인어렵구요 그 택시운송조합 쪽으로 문의하시거나 사이버 경찰청 내의 유실물 홈페이지를 별도로 운영을 하고 있어요.,분실물,"택시, 분실물, 시청, 콜센터, 택시운송조합, 사이버 경찰청, 유실물 홈페이지","분실물/분실물, 콜센터/콜센터, 유실물 홈페이지/분실물 사이트",,교통
44,상담사,분실물,시간,실례지만 언제 분실하셨어요,어제 저녁 아홉시반 쯤에 택시에서 내렸는 것 같네요 아홉시 반경에,분실 ,"저녁, 아홉시 반 쯤, 택시, 아홉 시 반경","저녁/저녁, 아홉시 반 쯤/아홉시 반 쯤, 아홉 시 반경/아홉시 반 쯤","저녁 아홉시반/시간/시간,택시/대중교통수단/교통수단,",교통
